envP_inBunk,envT_inBunk,envRH_inBunk,gasT_in_102,gasT_out_105,gasRH_in_102,gasRH_out_105,IC(mC/cm2)_RE2,CURRENT_RE2-2_T1_S1_BARC-8_(9.9kV),CURRENT_RE2-2_T1_S2_BARC-9_(10kV),RATE_RE2-2_T1_S1_BARC-8_(9.9kV),RATE_RE2-2_T1_S2_BARC-9_(10kV),IC(mC/cm2)_RE4,CURRENT_RE4-2_CERN-165_(9.9kV),CURRENT_RE4-2_CERN-166_(9.9kV),RATE_RE4-2_CERN-165_(9.9kV),RATE_RE4-2_CERN-166_(9.9kV)
961.589,20.8783,61.1835,21.54,21.308,60.6516,57.7977,437,0.0078813118,0.0093877937,441.488433992,536.2314085,222,0.0101771489,0.0067535964,581.04267218,380.468806919
961.994,20.8469,61.7576,21.51,21.364,62.0106,56.484,442,0.0077370836,0.0094590755,433.533847731,529.402242297,226,0.0100957817,0.0067295094,574.200005336,374.825942193
962.576,20.8697,57.7332,21.518,21.436,62.2824,55.2156,449,0.0097226617,0.0112846937,543.381242433,631.680374765,231,0.0121317859,0.0077514444,685.741893424,435.489700259
959.347,20.6622,58.6459,21.192,21.284,61.7388,54.0378,470,0.0109386434,0.012319368,593.308338758,667.363458706,245,0.0139973129,0.0080995756,782.051451492,451.999521126
962.917,21.322,34.4129,22.112,22.122,60.8328,53.9019,493,0.0112432544,0.0125769044,668.946511163,712.842787595,262,0.0141557359,0.0081924266,817.729068166,468.066988116
970.147,20.7019,46.7926,21.58,21.27,61.1952,53.1318,500,0.0131583266,0.0140003198,758.691721678,771.493510902,267,0.015261804,0.0085342893,859.339974193,461.261603517
960.283,21.3444,27.6065,22.15,22.236,60.5157,53.0412,510,0.0133896307,0.0146081783,794.742137042,816.539156273,272,0.0159039879,0.0089260793,902.082541696,492.124024681
981.102,20.5994,22.3452,21.366,21.332,59.6097,51.3651,531,0.0130653954,0.0134674245,748.388838491,715.216031822,286,0.0154553367,0.0080676401,849.819779264,442.662289094
973.125,20.6941,27.0301,21.618,21.672,61.6482,51.1839,534.976,0.0131739346,0.0134523377,754.468499702,726.715686529,288.471,0.0155078045,0.0080010017,864.031292002,444.05730059
972.921,20.842,23.442,21.31,21.57,62.373,50.4138,552.568,0.0123011615,0.012630322,702.066922803,672.587178436,299.455,0.0144412241,0.0074266658,799.228183921,397.080137315
971.955,21.215,29.8312,21.784,21.912,61.467,49.0095,561.7,0.012627329,0.0131523734,725.674341712,712.012023526,304.7,0.0150198357,0.0075972623,837.391572431,408.422751976
945.589,21.3983,29.6444,22.156,22.14,61.1046,50.6403,570.6,0.0125523103,0.0130751115,728.0615216,717.937765729,310,0.0149084169,0.0076162787,835.845084855,417.768240638
956.07,21.5208,34.9063,22.078,22.236,61.0593,50.6403,579,0.0125769991,0.013058188,727.211013261,710.648135793,314,0.0150956362,0.0077012208,844.705093616,418.959903586
963.933,21.7556,35.3134,22.39,22.432,61.2405,50.9574,585,0.0116163926,0.012567043,673.779996444,686.092793162,318,0.0145416399,0.0076467984,820.405048428,423.298054681
951.472,22.8081,35.0078,23.64,23.618,61.3764,52.4976,593,0.0108445848,0.0120731495,633.054936484,667.881999112,322,0.0144888056,0.0077101384,827.935289948,435.166985511
954.269,22.7498,34.2817,23.286,23.548,61.3764,52.4523,593,0.0107617626,0.0123497939,627.229358589,677.427663032,322,0.0144036269,0.0079997467,822.594663453,445.76637373
957.285,22.2208,40.7527,22.614,22.936,61.6482,52.1352,593,0.0114403786,0.0128131118,669.040620883,701.114268291,322,0.0145825806,0.0081645922,829.434979187,452.761954239
957.285,22.2208,40.7527,22.614,22.936,61.6482,52.1352,593,0.0114403786,0.0128131118,669.040620883,701.114268291,322,0.0145825806,0.0081645922,829.434979187,452.761954239
959.284,20.3597,48.7368,20.862,20.958,60.7422,52.9959,593,0.0113967057,0.0126262432,650.551401374,678.000667095,322,0.0139926317,0.0080965559,774.094083335,446.372144982
958.503,20.2556,55.3768,21.262,21.028,59.3832,52.2711,593,0.010516992,0.011805232,602.647329126,635.210760383,322,0.0133292477,0.0078423474,738.599729005,434.498756376
961.535,20.6069,60.9446,21.22,21,60.5157,56.8917,595,0.0092987748,0.0108254694,518.594791053,593.047547295,324,0.0126762302,0.0080208539,682.317111525,426.829202074
959.303,20.5942,61.0602,21.268,21.088,59.9268,57.2541,601,0.0093670881,0.0108308972,523.805368934,608.345724812,328,0.0127789298,0.0075173391,690.213446038,413.079047632
962.138,20.552,55.7194,21.204,21.018,61.1046,55.4421,606,0.0093062829,0.0108083063,531.17565525,606.06275573,332,0.0128542416,0.0073183098,692.42491144,402.320584719
